,experiment,lambda_entropy,n_inp,depth,n_selection_heads,samples,n_iteration,rmse,formula
0,math7,0.001,2,2,2,320,5000,1.7054735075367116,0.987*x_1**2 - 0.013*x_1*sin(x_1) + 1.156*sin(x_2) - 0.195*cos(x_1)
1,math7,0.01,2,2,2,320,5000,1.6596340432486743,1.001*x_1**2 + 0.005*x_1*cos(x_2) - 0.005*x_2*cos(x_2) - 0.019*x_2 + 0.964*sin(x_2) - 0.066*sin(0.325*cos(x_2)) - 0.034*cos(x_1) + 0.044*cos(x_2) + 0.022*cos(0.325*cos(x_2))
2,math7,1.0,2,2,2,320,5000,1.7970776414938725,0.992*x_1**2 - 0.222*x_1 - 0.085*x_2 + 0.734*sin(x_2) - 0.017*sin(0.653*x_1**2 + 0.019*x_1 + 0.083*x_2 + 0.09*sin(x_2) + 0.015*cos(x_2)) + 0.021*cos(x_2)
3,math7,0.001,2,2,2,320,10000,1.690158897349366,0.838*x_1*(1.184*x_1 + 0.028*x_2 + 0.012*sin(x_1)) - 0.015*x_2 - 0.02*sin(x_1) + 0.955*sin(x_2) + 0.035*sin(1.184*x_1 + 0.028*x_2 + 0.012*sin(x_1)) - 0.032*cos(x_2) - 0.022*cos(1.184*x_1 + 0.028*x_2 + 0.012*sin(x_1)) + 0.051
4,math7,0.01,2,2,2,320,10000,1.6711906392629587,1.0*x_1**2 - 0.045*sin(x_1) + 0.963*sin(x_2)
5,math7,1.0,2,2,2,320,10000,1.657658490307646,0.999*x_1**2 + 0.005*sin(x_1) + 1.01*sin(x_2) - 0.011*cos(x_2)
6,math7,0.001,2,2,2,320,50000,1.6389280419809469,1.001*x_1**2 + 1.015*sin(x_2)
7,math7,0.01,2,2,2,320,50000,1.7054803840608515,0.985*x_1**2 - 0.055*x_1 - 0.003*x_2 - 0.04*sin(x_1) + 0.915*sin(x_2) - 0.028*sin(0.743*x_1 + 0.81*x_2 + 0.011*sin(x_1) - 3.43*sin(x_2) + 0.017*cos(x_1)) + 0.019*sin(0.661*x_1**2 + 0.01*x_1 - 0.089*x_2 - 0.026*sin(x_1) + 0.075*sin(x_2) - 0.01*cos(x_2)) - 0.004*cos(x_1) - 0.017*cos(x_2) - 0.049*cos(0.743*x_1 + 0.81*x_2 + 0.011*sin(x_1) - 3.43*sin(x_2) + 0.017*cos(x_1))
8,math7,1.0,2,2,2,320,50000,1.8574368681193476,1.001*x_1**2 + 0.997*sin(x_2)
9,math7,0.001,2,2,2,3200,5000,1.656770144331364,1.012*x_1**2 + 0.819*sin(x_2)
10,math7,0.01,2,2,2,3200,5000,1.6629804736662754,1.032*x_1**2 + 0.969*sin(x_2) - 0.012*cos(x_1)
11,math7,1.0,2,2,2,3200,5000,1.726941297992275,0.982*x_1**2 + 0.024*x_1 - 0.066*x_2 + 0.055*sin(x_1) + 1.009*sin(x_2) - 0.011*cos(x_1) - 0.015*cos(x_2)
12,math7,0.001,2,2,2,3200,10000,1.687067685917106,0.996*x_1**2 + 0.007*x_1 + 0.007*x_2 + 0.992*sin(x_2) + 0.012*cos(x_2) + 0.01
13,math7,0.01,2,2,2,3200,10000,1.7824051549965043,0.989*x_1**2 + 0.009*x_1*x_2 + 0.013*sin(x_1) + 1.011*sin(x_2)
14,math7,1.0,2,2,2,3200,10000,1.6450845313954636,0.997*x_1**2 + 1.003*sin(x_2)
